id,name,document
473407,炒山蘇,山蘇 蔭樹子 小魚乾 蒜頭 米酒
451307,山蘇炒肉絲,山蘇 肉絲 米酒 蒜末 醬油 雞粉 糖
472766,茄汁煮山蘇,山蘇 蒜碎 辣椒 酒 味霖 醬油 蕃茄膏 胡椒粉 昆布柴魚高湯
471731,XO干貝醬熱炒山蘇,山蘇 Xo干貝醬 蒜頭
462767,蔭瓜山蘇,山蘇 蔭瓜 蒜碎 辣椒 酒 味霖 胡椒粉 昆布柴魚高湯
461585,麻香炒山蘇,山蘇 小魚乾 紅花椒油 乾香麻辣子 甘樹子
446554,山蘇炒香菇,山蘇 香菇 米酒 蒜末 雞粉 糖
451864,吻仔魚炒山蘇,山蘇 吻仔魚 蒜 味精
385524,味噌炒山蘇,山蘇 小魚乾 薑母 蒜頭 朝天椒 味噌 麻油
400285,福菜炒山蘇 家常菜客家菜,山蘇 福菜
390400,鮮蚵炒山蘇,山蘇 鮮蚵 豆鼓 味精 蒜末 糖 辣椒
378770,低GI干貝清炒山蘇,山蘇 干貝醬 乾辣椒可有可無 太白粉加水
362026,♡山蘇炒小魚乾♡,山蘇 蒜頭 四季醬油 朝天椒 糖 豆鼓
334301,XO醬炒山蘇,山蘇 蔥段 XO醬 米酒 辣椒圈
332324,小魚干炒山蘇,山蘇 小魚干 蒜末
435958,清燉牛肉麵,牛腱 麵條 香菇 鴻禧菇 山蘇 紅蘿蔔 白蘿蔔 白胡椒粒 花椒粒 老薑 嫩薑 月桂葉 八角 米酒 紹興酒 西洋芹 辣椒 洋蔥 牛番茄 雞骨 糖
314603,山蘇炒章魚腳,章魚腳 山蘇 蒜頭 不辣的辣椒 塩炒飯素 烹大師干貝風味 酒
299992,山蘇炒豬肉,山蘇 豬肉 鹽麴 蒜頭 醬油
311804,麻油炒山蘇（五分鐘出家常菜）,三蘇 小魚乾豆豉 蒜末 小磨坊萬用胡椒鹽 小磨坊蒜風味油 麻油
402491,素食年菜🌿芙蓉香酥羹🌿全素,猴頭菇真空包 花菇 豆漿 豆花粉 娃娃菜 糖 花片 芹菜 山蘇 酥漿粉 地瓜粉 太白粉 醬油 胡椒粉 五香粉 香菇粉
271682,山蘇肉片,火鍋肉片 山蘇 辣椒 醬油 蒜頭 醬油膏 砂糖 白醋
258575,小魚花生炒山蘇,山蘇 蒜 小魚花生 烹大師
