id,name,document
465542,牛肉炒蓮藕,牛肉 蓮藕 米酒 蔥 醬油 太白粉
463047,蓮藕片炒雞胸,雞胸肉 蓮藕 雞粉 紅蘿蔔片 蠔油 蔥 醬油 米酒 糖 十三香粉 太白粉
465490,洋蔥肉末炒蓮藕,燒肉末 蓮藕 味霖 洋蔥 雞粉
461633,蓮藕豬里肌煮,蓮藕 豬里肌 糖 紅蘿蔔絲 醬油 芝麻 太白粉
466516,蓮藕片炒鴻禧菇,蓮藕 鴻禧菇 雞粉
468576,蓮藕肉餅,蓮藕 絞肉
479174,涼拌黑芝麻沙拉藕片,蓮藕 丘比美奶滋 黑芝麻粉 蔬果白醋 冷開水
473420,蓮藕青椒炒鴨賞,蓮藕 鴨賞 青椒 米酒 胡椒
461696,蓮藕,蓮藕 絞肉 蝦 薑末 蛋 玉米粉
470719,蓮藕香菇烏骨雞湯,烏骨雞腿 薑片 紅棗 乾香菇 切片蓮藕 米酒
458174,蓮藕雞腿排炊飯,米 蓮藕 鹽或醬油 雞腿排 蔥花
465874,蓮藕肉捲,蓮藕 梅花豬火鍋肉片 醬油 白芝麻 醬油膏或蠔油 蒜 白胡椒粉 薑 米酒
465652,醬炒蓮藕,蓮藕 蒜頭 青檸醬油或壽喜燒醬油 辣椒 蔥
466584,蓮藕山藥排骨湯,蓮藕 排骨 山藥 玉米 紅蘿蔔 蔥 薑
461417,蓮藕黃豆漿,煮熟黃豆 煮熟蓮藕 冰糖 熱開水
464688,清蒸馬蹄蓮藕肉丸子,豬絞肉 蓮藕荸薺 十三香胡椒鹽 青蔥 醬油 薑 蠔油 料酒or米酒 糖 蔥薑水or水 玉米粉
478067,熗拌蓮菜(五辛素),水煮蓮藕 青蔥 細砂糖 老薑 嫩薑 白醋 米醋 蘋果醋 植物油 蒜頭 味精 二荊條乾辣椒 香菜根 食鹽 石柱紅乾辣椒 青花椒麻椒
466402,蓮藕玉米紅蘿蔔蓮子瘦肉湯,梅花豬肉 玉米 紅蘿蔔 蓮藕 蓮子
457162,涼拌茉莉金桔蓮藕,蓮藕 冰糖茉莉金桔磚 辣椒 蔥花 檸檬汁
451943,冰糖蓮藕茶,蓮藕切片 冰糖
452093,蓮藕片蒸鱸魚,鱸魚排 蔥 芹菜 味精 蓮藕 破布子汁 薑 米酒 雞湯汁
456922,蓮藕玉米粒薯餅,綠巨人天然特甜玉米粒 馬鈴薯 蓮藕 雞蛋 太白粉 麵包粉 粉絲
455974,豆渣蓮藕盒｜過熱水蒸氣烤箱微波爐,蓮藕 豆渣 山藥 羊栖菜 胡蘿蔔 青蔥末 美奶滋 胡椒 雞蛋 低筋麵粉 麵包粉
450964,蘋果蓮藕捲,華盛頓翠玉蘋果 華盛頓富士蘋果 原味優格 蓮藕片 蜂蜜 黃金奇異果 蛋沙拉醬 鳳梨 韭菜段
455972,雞茸蓮藕盒｜過熱水蒸氣烤箱微波爐,蓮藕 雞絞肉 青蔥末 蛋黃 醬油 片栗粉 醋醬油 蘿蔔泥
455973,炸雞茸蓮藕盒｜過熱水蒸氣烤箱微波爐,蓮藕 雞絞肉 薑末 青蔥末 蛋黃 胡椒 片栗粉 雞蛋 低筋麵粉 麵包粉
463677,芋頭藕粉涼糕｜蓮藕粉取代太白粉更健康,蓮藕粉 玉米粉 糖 芋頭
446328,蓮藕排骨湯,蓮藕 排骨
445445,蓮藕竹筍雞湯,土雞切塊 竹筍 蓮藕 冰糖
451142,素蒸餃&蓮藕豆腐湯,蓮藕 香菇 豆腐 杏鮑菇 嵐田素食蒸餃 玉米筍 醬油 碗豆 綠花椰採
446735,日式糖醋蓮藕,蓮藕 糖 醬油 醋 味霖
442922,醬燒蓮藕,蓮藕 木耳 蒜頭 醬油 蠔油 玉米澱粉
456061,炸蓮藕酪梨三明治｜過熱水蒸氣烤箱微波爐,酪梨 蝦仁 蓮藕 青紫蘇 醬油 芥末 雞蛋 低筋麵粉 天婦羅花
443650,蓮藕肉餅-排油鍋,蓮藕 絞肉 酒 蔥花 糖 烏醋 薑泥 醬油 香菜末 鐵壺水 黑胡椒粉
444161,照燒蓮藕肉餅,蓮藕1節 豬絞肉 醬油 洋蔥 味醂 蒜頭 糖 老薑 清酒或米酒 白胡椒粉 蔥花 清酒 麵粉 太白粉
448182,蓮藕排骨湯/零廚藝,蓮藕 豬背骨
442796,清炒蓮藕片,蓮藕兩節 蔥段 紅蘿蔔 雞粉 糖
