id,name,document
476898,苦瓜炒蛋,苦瓜 蛋
479412,鳳梨苦瓜雞湯,苦瓜 馬師傅蔭鳳梨 香菇 雞腿肉 米酒 調味粉
477824,梅漬涼拌苦瓜,苦瓜 糖 糯米醋 Q梅或是話梅
478463,家常炒苦瓜,苦瓜 梅干菜 乾香菇 薑 醬油 醬油膏 糖
477321,豆腐苦瓜封,白玉苦瓜 板豆腐 香菇 蒜頭 玉米罐頭 紅蔥頭 五香粉 青蔥 玉米粉 黑豆豉 小魚乾 醬油 黑糖 米酒
477026,苦瓜肉燥,絞肉 苦瓜 醬油 蒜頭 黑糖 乾香菇 五香粉 蝦米 白胡椒 蔭瓜 蔭瓜罐的湯汁 糖川燙苦瓜用
477385,紫蘇梅山苦瓜,山苦瓜 茶葉 紫蘇梅 蜂蜜 糖 工研醋 蘋果醋
476966,苦瓜封肉,苦瓜 豬絞肉
476996,山苦瓜炒蛋,山苦瓜 雞蛋 蒜頭 食鹽 砂糖 味精 白胡椒粉
476687,苦瓜排骨湯,苦瓜 排骨肉 黃帝豆
477284,日式苦瓜沙拉,山苦瓜 洋蔥 美乃滋 水煮鮪魚罐頭 檸檬汁 黑胡椒粉 砂糖 食鹽 味精 熟白芝麻
479230,梅釀綠苦瓜,綠苦 梅子 白砂糖 蜂蜜可加可不加 白開水
472745,鹹蛋苦瓜封,新東陽瓜仔肉醬罐頭 鹹蛋黃 板豆腐 蛋黃 苦瓜 胡椒粉 蔥花 辣椒末 太白粉
477677,丁香豆鼓苦瓜,苦瓜 丁香豆鼓罐頭
477009,青苦瓜炒鹹蛋,青苦瓜 鹹蛋 蒜頭 胡椒粉
477244,爆打苦瓜檸檬茶,綠茶茶湯 冰塊 茉莉綠茶 沖繩苦瓜山苦瓜 80熱水 香水黃檸檬 糖漿
462757,白玉苦瓜辣炒蛋,白玉苦瓜 雞蛋 火辣雞肉風味辣醬 蒜末 醬油 蠔油
478929,梅子燒苦瓜(純素),白玉苦瓜 嫩薑 話梅 醬油 素蠔油 味精 清水
478759,懶人菜譜-滷苦瓜,苦瓜 乾香菇 醬油 醃冬瓜 冰糖 蔭瓜 米酒 薑片
477314,鹹豬肉辣炒山苦瓜,山苦瓜 鹹豬肉 蔥段 糖 雞粉 胡椒粉 五香粉 辣椒粉
477793,沖繩山苦瓜炒豆腐,山苦瓜 里肌肉 醬油膏 老薑 米酒 土雞蛋 醬油 板豆腐
475259,豆豉香菇燜苦瓜,苦瓜 乾香菇 醬油膏 青蔥切段 醬油 大蒜切末 香菇素蠔油 豆豉 冰糖 辣椒隨意 胡椒粉
477155,香辣小魚燜苦瓜,白玉苦瓜 小魚乾 粗辣椒片 醬油 紹興酒 蔭豆豉 金勾蝦 蝦皮 蒜頭 味精
478830,十分鐘上菜-豆鼓炒苦瓜,苦瓜 蔭豆鼓 蒜頭 青蔥
469305,醬油悶苦瓜,苦瓜 薑片 蔭豆 蒜末 醬油 米酒
466615,滷苦瓜,苦瓜 青蔥 糖 蒜頭 醬油 丁香魚乾 黑豆豉 蔭瓜汁 蔭瓜 米酒
465406,豆豉苦瓜,苦瓜 豆豉醬 豆腐乳醬 蒜頭 醬油 鮮味炒手
479504,鳳梨苦瓜香菇雞湯 (簡單雞湯懶人包),台灣仿土雞腿 蔭鳳梨 苦瓜 乾香菇 老薑片 新鮮鳳梨 白胡椒粉
465688,豆瓣醬苦瓜,去囊苦瓜 蒜碎 辣椒 花椒粒 郫縣豆瓣醬 酒 昆布柴魚高湯
467736,鳳梨苦瓜雞,苦瓜 全聯桂丁雞腿肉 香菇 枸杞 蔭鳳梨 米酒
463595,山苦瓜辣豆瓣醬炒素腸,山苦瓜 素腸 辣豆瓣醬 紅蘿蔔片 醬油 米酒 糖
469539,苦瓜排骨湯（電鍋）,苦瓜 帶肉排骨 豆鼓 薑片
464370,苦瓜鑲肉,苦瓜 絞肉 紅棗 紅蘿蔔 玉米筍 醬油 烏醋 太白粉水 糖 白胡椒粉 蒜頭
