id,name,url,preview_ingredients,ingredients,steps,combined_text,image_path
478251,椒鹽玉米,https://icook.tw/recipes/478251,玉米、蒜頭、椒鹽、蔥,玉米1 根 | 蒜頭約 2 大匙 | 蔥1 根 | 椒鹽1 小匙,"玉米切段後，再縱切成四等分蒜頭與蔥切末 | 先將玉米蒸10分鐘後，取出備用 | 加多點油熱鍋，將玉米倒入鍋中，玉米粒朝下，中火煎香
煎香後撈出備用，將油倒掉 | 加油熱鍋，倒入蒜頭後小火炒香
倒回玉米後轉大火快炒，並灑上椒鹽，炒出香氣後灑上蔥花即完成","椒鹽玉米。食材：玉米1 根，蒜頭約 2 大匙，蔥1 根，椒鹽1 小匙。做法：玉米切段後，再縱切成四等分蒜頭與蔥切末，先將玉米蒸10分鐘後，取出備用，加多點油熱鍋，將玉米倒入鍋中，玉米粒朝下，中火煎香
煎香後撈出備用，將油倒掉，加油熱鍋，倒入蒜頭後小火炒香
倒回玉米後轉大火快炒，並灑上椒鹽，炒出香氣後灑上蔥花即完成。",玉米/478251_椒鹽玉米.jpg
477719,玉米蛋,https://icook.tw/recipes/477719,玉米粒罐、蛋、奶油、盬,玉米粒罐1罐 | 蛋3顆 | 奶油1小塊 | 盬1小匙,"玉米粒罐,倒掉汁,備用,
蛋洗一下,再打入碗內,備用 | 将玉米粒下鍋拌炒後起鍋倒入放蛋碗內,加點鹽,一起拌勻 | 再起油鍋,加奶油,倒入拌好玉米蛋液入鍋煎,等1分鐘後,再将蛋拌一下,即可!","玉米蛋。食材：玉米粒罐1罐，蛋3顆，奶油1小塊，盬1小匙。做法：玉米粒罐,倒掉汁,備用,
蛋洗一下,再打入碗內,備用，将玉米粒下鍋拌炒後起鍋倒入放蛋碗內,加點鹽,一起拌勻，再起油鍋,加奶油,倒入拌好玉米蛋液入鍋煎,等1分鐘後,再将蛋拌一下,即可!。",玉米/477719_玉米蛋.jpg
479070,減脂料理～大黃瓜玉米雞丁,https://icook.tw/recipes/479070,玉米、大黃瓜、鹽味雞胸肉、蒜頭、鹽,玉米1根 | 大黃瓜1/4條 | 鹽味雞胸肉180克 | 蒜頭2瓣 | 鹽適量,準備食材，鹽味雞胸肉是市售現成調味好的雞肉，也可以自行以生雞胸肉泡鹽水的方式先醃漬，水：鹽約100:5，約泡半天，可讓雞胸肉鮮嫩多汁而不柴，再加上適量黑胡椒調味即可 | 大黃瓜削皮去籽切丁 | 刨玉米粒，雞胸肉切成適口塊狀，蒜頭切細末備用 | 倒油爆香蒜末 | 聞到蒜香味後即可放入雞胸肉丁拌炒 | 待雞胸肉煎至表面略微上色即可盛起備用 | 原鍋倒油，再倒入玉米和大黃瓜拌炒，中途加些水，並蓋上鍋蓋燜煮 | 加鹽巴調味，再略微拌炒至食材都熟了 | 最後倒入雞胸肉丁拌炒均勻，即可盛盤上菜,減脂料理～大黃瓜玉米雞丁。食材：玉米1根，大黃瓜1/4條，鹽味雞胸肉180克，蒜頭2瓣，鹽適量。做法：準備食材，鹽味雞胸肉是市售現成調味好的雞肉，也可以自行以生雞胸肉泡鹽水的方式先醃漬，水：鹽約100:5，約泡半天，可讓雞胸肉鮮嫩多汁而不柴，再加上適量黑胡椒調味即可，大黃瓜削皮去籽切丁，刨玉米粒，雞胸肉切成適口塊狀，蒜頭切細末備用，倒油爆香蒜末，聞到蒜香味後即可放入雞胸肉丁拌炒，待雞胸肉煎至表面略微上色即可盛起備用，原鍋倒油，再倒入玉米和大黃瓜拌炒，中途加些水，並蓋上鍋蓋燜煮，加鹽巴調味，再略微拌炒至食材都熟了，最後倒入雞胸肉丁拌炒均勻，即可盛盤上菜。,玉米/479070_減脂料理～大黃瓜玉米雞丁.jpg
479722,玉米蘿蔔湯,https://icook.tw/recipes/479722,白蘿蔔、紅蘿蔔、玉米、香菜、香油、胡椒粉、鹽、雞粉,白蘿蔔半條 | 紅蘿蔔幾片 | 玉米1條 | 香菜少許 | 香油少許 | 胡椒粉少許 | 鹽少許 | 雞粉少許,"白蘿蔔切片入鍋 冷水就下鍋一起煮到滾 
轉中小火繼續煮 蓋鍋蓋 | 中間加入玉米、紅蘿蔔煮一下
加入調味料試味道 | 煮約45-60分鐘白蘿蔔煮透起鍋","玉米蘿蔔湯。食材：白蘿蔔半條，紅蘿蔔幾片，玉米1條，香菜少許，香油少許，胡椒粉少許，鹽少許，雞粉少許。做法：白蘿蔔切片入鍋 冷水就下鍋一起煮到滾 
轉中小火繼續煮 蓋鍋蓋，中間加入玉米、紅蘿蔔煮一下
加入調味料試味道，煮約45-60分鐘白蘿蔔煮透起鍋。",玉米/479722_玉米蘿蔔湯.jpg
479753,玉米高麗菜水餃,https://icook.tw/recipes/479753,豬絞肉、高麗菜、醬油、玉米粒、香油、雞蛋、鹽、餃子皮、胡椒粉、糖,豬絞肉350克 | 高麗菜300克 | 玉米粒130克 | 雞蛋1顆 | 餃子皮40張 | 醬油2大匙 | 香油2大匙 | 鹽1小匙 | 胡椒粉1/2小匙 | 糖1/2小匙,高麗菜切小塊洗淨，加一匙鹽，抓一抓靜置十分鐘，豬絞肉加入所有調料攪至出黏，再下全蛋攪至充份吸收 | 高麗菜出水後洗淨，放入脫水機反覆脫水2-3回至乾，高麗菜、玉米加入絞肉盆，充分攪拌均勻，包保鮮膜冷藏30分 | 挖一匙餡，邊緣沾點水後對折黏緊，壓摺收口，煮熟就可以吃囉！,玉米高麗菜水餃。食材：豬絞肉350克，高麗菜300克，玉米粒130克，雞蛋1顆，餃子皮40張，醬油2大匙，香油2大匙，鹽1小匙，胡椒粉1/2小匙，糖1/2小匙。做法：高麗菜切小塊洗淨，加一匙鹽，抓一抓靜置十分鐘，豬絞肉加入所有調料攪至出黏，再下全蛋攪至充份吸收，高麗菜出水後洗淨，放入脫水機反覆脫水2-3回至乾，高麗菜、玉米加入絞肉盆，充分攪拌均勻，包保鮮膜冷藏30分，挖一匙餡，邊緣沾點水後對折黏緊，壓摺收口，煮熟就可以吃囉！。,玉米/479753_玉米高麗菜水餃.jpg
475134,肉末玉米,https://icook.tw/recipes/475134,豬絞肉、玉米粒、醬油、蔥花、蠔油、米酒、白胡椒粉,豬絞肉200克 | 玉米粒1/2罐 | 蔥花適量（可不加） | 醬油1大匙 | 蠔油1大匙 | 米酒適量 | 白胡椒粉適量,備料 | 下少量油炒豬絞肉至變白 | 加入玉米粒翻炒 | 加入調味料跟蔥花炒勻至收汁 | 盛盤,肉末玉米。食材：豬絞肉200克，玉米粒1/2罐，蔥花適量（可不加），醬油1大匙，蠔油1大匙，米酒適量，白胡椒粉適量。做法：備料，下少量油炒豬絞肉至變白，加入玉米粒翻炒，加入調味料跟蔥花炒勻至收汁，盛盤。,玉米/475134_肉末玉米.jpg
478497,香料玉米排,https://icook.tw/recipes/478497,玉米、煙燻風味香料粉、鹽、黑胡椒、橄欖油、巴西里末、芫荽末、九層塔末、上面三樣綠綠的可加可不加、帕馬森起司,玉米1包 | 煙燻風味香料粉多轉幾下 | 鹽配酒的話可以加 | 黑胡椒轉個3下 | 橄欖油適量 就是你自行決定 | 巴西里末少許沒有就算了 | 芫荽末不吃別加喜歡的加爆 | 九層塔末同上 | 上面三樣綠綠的可加可不加因為口味很主觀 | 帕馬森起司刨個4-5下,"玉米洗乾淨擦乾 | 玉米剁十字 （砧板下記得墊塊抹布防滑
如果比較大根切對半在剁十字 （小心手指頭 | 把烘培紙取跟烤盤大小差不多之後 揉成團再攤開 | 擺上剁好的玉米灑上香料們跟橄欖油 | 放進烤箱或氣炸鍋都給它220度
10-15分 先10分不夠再加 最多烤15分 再烤下去都乾了🤣會變裝飾品 | 叮～ 烤好了 取出 幫它們馬殺雞一下 （抓一抓 恰恰🤣懂的懂 灑上三種綠綠其中一種 如果都不愛或都沒有就算了 但一定一定要刨起司喔 因為感覺比較厲害😚好啦 也有不愛起司的 就自己決定唄 反正叮～的時候就完成了","香料玉米排。食材：玉米1包，煙燻風味香料粉多轉幾下，鹽配酒的話可以加，黑胡椒轉個3下，橄欖油適量 就是你自行決定，巴西里末少許沒有就算了，芫荽末不吃別加喜歡的加爆，九層塔末同上，上面三樣綠綠的可加可不加因為口味很主觀，帕馬森起司刨個4-5下。做法：玉米洗乾淨擦乾，玉米剁十字 （砧板下記得墊塊抹布防滑
如果比較大根切對半在剁十字 （小心手指頭，把烘培紙取跟烤盤大小差不多之後 揉成團再攤開，擺上剁好的玉米灑上香料們跟橄欖油，放進烤箱或氣炸鍋都給它220度
10-15分 先10分不夠再加 最多烤15分 再烤下去都乾了🤣會變裝飾品，叮～ 烤好了 取出 幫它們馬殺雞一下 （抓一抓 恰恰🤣懂的懂 灑上三種綠綠其中一種 如果都不愛或都沒有就算了 但一定一定要刨起司喔 因為感覺比較厲害😚好啦 也有不愛起司的 就自己決定唄 反正叮～的時候就完成了。",玉米/478497_香料玉米排.jpg
478092,玉米排骨湯,https://icook.tw/recipes/478092,水果玉米、豬小排、胡蘿蔔、鹽、鰹魚粉、蔥花,水果玉米1根 | 豬小排3塊 | 胡蘿蔔1小段 | 鹽1小匙 | 鰹魚粉1小匙 | 蔥花少許,排骨冷水下鍋川燙去血水，再洗淨，胡蘿蔔切小丁，玉米切大塊 | 排骨放入鍋中，加入玉米、胡蘿蔔，加入高湯淹過食材 | 煮滾蓋上鍋蓋再小火燉半小時，最後調味，加點鹽、鰹魚粉、蔥花，完成✅,玉米排骨湯。食材：水果玉米1根，豬小排3塊，胡蘿蔔1小段，鹽1小匙，鰹魚粉1小匙，蔥花少許。做法：排骨冷水下鍋川燙去血水，再洗淨，胡蘿蔔切小丁，玉米切大塊，排骨放入鍋中，加入玉米、胡蘿蔔，加入高湯淹過食材，煮滾蓋上鍋蓋再小火燉半小時，最後調味，加點鹽、鰹魚粉、蔥花，完成✅。,玉米/478092_玉米排骨湯.jpg
477750,玉米蝦仁蛋,https://icook.tw/recipes/477750,玉米罐頭、蝦仁、黑胡椒粒、鹽、蛋,玉米罐頭1罐 | 蝦仁8隻 | 黑胡椒粒1小匙 | 鹽1小匙 | 蛋2顆,先加油乾煎蝦仁 | 加入玉米粒炒乾水份，然後加點黑胡椒，鹽調味。 | 再補點油加入兩顆蛋翻炒熟出鍋，也可以加點蔥花。 | 補圖，剩下玉米粒保存方式，換乾淨密封容器，濾出罐頭玉米水，實測放冰箱一周。,玉米蝦仁蛋。食材：玉米罐頭1罐，蝦仁8隻，黑胡椒粒1小匙，鹽1小匙，蛋2顆。做法：先加油乾煎蝦仁，加入玉米粒炒乾水份，然後加點黑胡椒，鹽調味。，再補點油加入兩顆蛋翻炒熟出鍋，也可以加點蔥花。，補圖，剩下玉米粒保存方式，換乾淨密封容器，濾出罐頭玉米水，實測放冰箱一周。。,玉米/477750_玉米蝦仁蛋.jpg
474709,玉米雞湯,https://icook.tw/recipes/474709,雞腿肉、山藥、玉米、薑片、米酒、味醂、鹽巴、味精、麻油、洋蔥,雞腿肉1盒 | 山藥1包（全聯切好的 | 玉米1根 | 薑片半塊 | 米酒2匙 | 味醂1匙 | 鹽巴2小匙 | 味精2小匙 | 麻油1匙 | 洋蔥半顆,"玉米切塊後先拿鍋子煮當作湯底
雞腿肉先煎，皮朝下，煎到金黃 | 雞肉煎到金黃後，洋蔥切塊下去，薑片也下去炒，可以預留一點，在加2匙米酒，翻炒到有洋蔥味就可以加水煮滾，再換到煮玉米的鍋子，味醂、鹽巴、味精、麻油就可以加下去囉～滾了就可以了","玉米雞湯。食材：雞腿肉1盒，山藥1包（全聯切好的，玉米1根，薑片半塊，米酒2匙，味醂1匙，鹽巴2小匙，味精2小匙，麻油1匙，洋蔥半顆。做法：玉米切塊後先拿鍋子煮當作湯底
雞腿肉先煎，皮朝下，煎到金黃，雞肉煎到金黃後，洋蔥切塊下去，薑片也下去炒，可以預留一點，在加2匙米酒，翻炒到有洋蔥味就可以加水煮滾，再換到煮玉米的鍋子，味醂、鹽巴、味精、麻油就可以加下去囉～滾了就可以了。",玉米/474709_玉米雞湯.jpg
