id,name,document
478783,紅燒冬瓜,冬瓜 香菇 淡味醬油 蝦米或蝦皮 香菇素蠔油 蔥或香菜 胡椒粉 紅辣椒 薑片
476317,冬瓜仙草,仙草 冬瓜磚
478999,醬燒冬瓜,冬瓜 薑 醬油 糖 九層塔
478582,冬瓜排骨蛤蠣湯,薑絲 冬瓜 蛤蠣 排骨
476451,冬瓜排骨湯,冬瓜 薑片 排骨
467984,香菇清蒸滷冬瓜,香菇 冬瓜 蠔油 金針 雞粉
466517,冬瓜肝連湯,冬瓜 肝連肉 雞粉 米酒
187769,煎釀油豆腐煑冬瓜,冬瓜 油豆腐 攪肉 蠔油 冬菇 生粉
471099,蝦米冬瓜麵,蝦米 冬瓜 五花肉火鍋肉片 味精 好勁道寬麵 雞蛋
472801,黑糖冬瓜糖塊,新鮮冬瓜 黑糖粉 砂糖
471942,冬瓜排骨酥湯,排骨酥現成 冬瓜一片 薑絲 清水 醬油 鮮味炒手 糖
466325,冬瓜盅,冬瓜 乾冬菇 蝦米 乾瑤柱干貝 蓮子 瘦肉
477202,奇亞籽蜂蜜醋拌冬瓜,冬瓜 白醋 蜂蜜 奇亞籽
467657,清燉肉燥冬瓜,冬瓜 絞肉 薑 蔥 醬油 米酒
470966,冬瓜果凍拿鐵咖啡☕️,冬瓜磚 統一鮮奶 咖啡
463444,冬瓜薑雞湯,土雞腿 冬瓜 薑
468453,雞肉蕈菇蒸冬瓜,冬瓜 雞腿肉切丁 鴻禧菇 蔥花 醬油 米酒 砂糖 胡椒粉
461452,腐乳燒冬瓜,冬瓜 絞肉 辣腐乳 腐乳汁 蒜末 蔥花 米酒
464635,蝦皮冬瓜湯,冬瓜 老薑 魚露 蝦皮 米酒 枸杞 雞粉 白胡椒粉 植物油
463523,冬瓜薏仁肉片湯,冬瓜 連皮連籽 薏仁 梅花豬肉塊 薑
464677,菜脯燒冬瓜,冬瓜 菜脯 蝦米 薑絲 醬油 米酒 砂糖
459512,冬瓜肉捲,冬瓜 雞胸肉 醬油 蝦仁 薑泥
463145,豆豉香菇燒冬瓜,冬瓜 乾香菇 豆豉 醬油 砂糖
467123,冬瓜玉米肝連肉湯,冬瓜 玉米 肝連肉
461790,剝皮辣椒冬瓜雞湯/煮/零廚藝,去骨雞腿肉 香菇 冬瓜 剝皮辣椒
462080,冬瓜蘋果心太軟,冬瓜 蘋果 蜂蜜或黑糖 糯米粉
458513,薑絲冬瓜排骨湯,薑絲 冬瓜 排骨
458877,冬瓜燒松阪豬肉,松阪豬 蔥段 蠔油 薑絲 冬瓜全聯 糖 白胡椒粉 米酒
463697,[一鍋到底] 冬瓜燒肉,豬後腿心肉 冬瓜 薑片 醬油 冰糖 滷包
461876,冬瓜蓮子薏仁排骨湯,排骨 冬瓜 薑 蔥 薏仁 蓮子 米酒
460460,蝦、肉丸冬瓜湯麵缐,蝦 絞肉 薑末 蔥花 冬瓜湯 蛋 玉米粉
468160,減脂餐2~冬瓜木耳蕃茄雞蛋湯,冬瓜 新鮮黑木耳 雞蛋 蕃茄
