id,name,document
478003,醬油山藥,山藥 醬油
476835,山藥排骨麵線,排骨 山藥 娃娃菜 麵線 去籽紅棗 枸杞 薑片 米酒可省略
474656,明太子烤山藥,山藥 明太子醬 沙拉醬
476698,山藥紅蘿蔔軟骨肉,豬軟骨 洋蔥 薑 蔥 米酒 紅蘿蔔 山藥 醬油 糖
467394,山藥,梅花肉塊 蕃茄 紅蘿蔔 玉米 山藥 糖
476492,電鍋-蓮子山藥排骨湯,山藥 蓮子 全聯排骨肉
472217,人蔘山藥雞湯,玉米雞 山藥 蔘鬚 老薑 黃耆 甘草 雞粉 紅棗 清水 枸杞 米酒 黃酒
471625,《山藥排骨湯》,軟骨肉或排骨 山藥 枸杞 紅棗 薑片
457590,山藥雞肉枸杞五穀粥,白米與五穀米 山藥 枸杞 雞腿肉 香菜
471870,山藥補氣雞湯,山藥全聯切好的 雞腿肉 枸杞 紅棗 黨蔘 米酒 味精 味醂 香菇
457636,山藥枸杞雞湯  電鍋料理,日本山藥 帶骨雞肉 枸杞 濕香菇
472462,紅棗山藥涼糕｜Vitamix,山藥 蘋果 紅棗 葡萄乾
474629,山藥紅蘿蔔玉米排骨湯,香菜 紅棗 枸杞 薑片 排骨 蘋果 玉米 紅蘿蔔 日本山藥
469737,山藥雞腿湯,雞腿塊 山藥
469443,山藥排骨湯,山藥 排骨 玉米筍 枸杞 香菜 米酒
471190,山藥排骨湯（電鍋）,山藥 排骨 薑片 蒜頭可加或不加
469214,山藥紅豆湯🎶,山藥 紅豆 黑糖
477770,日式紫蘇涼拌山藥（全素）,日本山藥 白芝麻 醃漬紫蘇 香菇調味露 芝麻油
472247,山藥秋葵拌飯,山藥 秋葵 蜂蜜 白飯 柚香檸檬沾淋醬
470649,麻油紅棗山藥雞湯,雞腿肉切塊 山藥 高麗菜 老薑 紅棗 枸杞 一般食用油 黑麻油
464847,山藥湯,山藥 紅蘿蔔 玉米筍 鵝脖子 香菇 鴻禧菇 薑片 紅棗
473914,山藥蟲草菌菇雞腿湯,山藥塊 雞腿塊 蟲草菌菇
466584,蓮藕山藥排骨湯,蓮藕 排骨 山藥 玉米 紅蘿蔔 蔥 薑
471609,哈佛蔬菜湯+山藥排骨湯,南瓜 紅蘿蔔 高麗菜 洋蔥 排骨 山藥 玉米 木耳 小玉米 鴻禧菇
466586,山藥玉米排骨湯,山藥 排骨 甜玉米 薑 蔥 枸杞 白胡椒粉 香菜
463501,雞肉、山藥丸子,雞胸肉 山藥 胡椒 太白粉
468929,山藥排骨暖胃湯,山藥 排骨 蓮藕片 冰糖 牛蕃茄 白胡椒粉 薑片 清水 米酒頭 紅棗
474650,山藥排骨湯  ｜北鼎多功能蒸燉鍋,紅棗 枸杞 山藥 排骨 薑片 米酒 好水
472272,步步高升山藥百香果醬汁（年菜）,日本山藥1節 百香果 蜂蜜 萊姆汁 醋
468919,蘋果山藥藥膳雞湯,蘋果 山藥 去骨雞腿排 藥膳包 菇類 青菜 薑片 米酒
464300,白木耳山藥甜湯,白木耳 山藥 蓮子 紅棗乾 枸杞
463854,馬告山藥雞湯,帶骨雞肉 日本山藥 馬告顆粒 薑 米酒
468995,豬五花山藥玉米火鍋,豬五花 火鍋肉片 甜玉米 山藥 南瓜 高麗菜 洋蔥 青江菜 金針菇 綜合餃類
466020,紅薯餅（紫山藥餅）,紫山藥 低筋麵粉 黑糖 過濾水
465710,寶寶副食品～山藥雞肉粥,山藥 雞肉絲 白米
454516,山藥雞湯,土雞腿切塊 山藥 紅蘿蔔 舞菇 香菜 烹大師干貝風味
457777,月亮山藥餅,潤餅皮 純旗魚漿 胡椒粉 豬絞肉 五香粉 山藥 蔥 薑末
466120,電鍋出好菜山藥蒸肉餅,山藥台灣 全聯絞肉 薑末 醬油 米酒 蠔油 太白粉 白胡椒粉
456570,山藥炒肉片,山藥 豬肉片 紹興酒 蔥 素蠔油 米酒 白胡椒粉
456487,日本山藥絲瓜,絲瓜 山藥 紅蘿蔔 嫩薑 白胡椒粉
459048,山藥蘋果排骨湯,排骨 紅蘿蔔 山藥 蒜頭 蘋果
472623,《年菜再利用》-山藥玉米豬腳湯/排骨湯,年菜豬腳剩下的豬腳大骨 薑片 玉米 山藥 紅蘿蔔不一定要加
451043,紫山藥煎餅,紫山藥
455280,清蒸山藥｜三鮮肉丸,豬絞肉 山藥泥 紅蘿蔔碎 米酒 芹菜粒 蛋白 白胡椒粉
469254,用赤味噌當作湯底 味噌山藥豆腐烏龍麵🍜,娃娃菜 紅蘿蔔 山藥豆腐丸子 小白菜 烏龍麵 香菇 赤味噌
451391,蘋果山藥雞湯,仿土雞腿 華盛頓富士蘋果 塊狀山藥 黃耆 當歸 紅棗 白胡椒粉 米酒
