id,name,document
479130,炒水蓮,水蓮 嫩薑片 枸杞
479468,清炒水蓮,水蓮 蒜頭
466814,水蓮煎蛋,水蓮 雞蛋 雞粉
477968,水蓮肉捲,火鍋豬肉片 水蓮 蒜末 薑片 小辣椒 青蔥 蔥綠 特砂糖 芝麻油 醬油 烏醋 醬油膏
478250,[快速] 炒水蓮,水蓮 薑 破布子汁 蒜頭 醬油 破布子
478225,水蓮豬肉捲,水蓮 豬肉片 胡椒粉 七味粉 白芝麻
471966,水蓮炒百葉豆腐,水蓮 百葉豆腐 雞粉
478492,金沙水蓮杏鮑菇,水蓮 杏鮑菇 鹹蛋 辣椒 蔥
474034,肉片炒水蓮,肉片 水蓮 醬油 米酒 蒜頭 糖 白胡椒粉 油膏 薑片
470289,豆皮炒水蓮,水蓮 生豆皮 X0醬 薑絲 米酒 糖
466871,水蓮與雞腿肉,水蓮 雞腿肉 胡椒粉 米酒
470244,什錦水蓮拌粉絲,韓式雜菜冬粉 水蓮 小玉米筍 蝦仁 雞蛋 蒜頭 炒麵醬
468605,紅燒皮蛋炒水蓮,水蓮 皮蛋 醬油 蒜頭 糖 麵粉 辣椒醬
465843,水蓮炒豆芽｜水蓮爽脆口感升級作法,水蓮 豆芽菜 鮮香菇 白胡椒粉 薑絲 米酒 辣椒 植物油
468092,水蓮炒玉米筍,水蓮 玉米筍 蒜頭
463135,薑絲炒水蓮,水蓮 嫩薑一小段 蒜頭
465967,（清炒）美白菇辣炒水蓮,水蓮 美白菇 大辣椒 牛蒡粉
450968,水蓮炒鹹豬肉,水蓮 鹹豬肉 蒜末
459460,水蓮鴻禧菇炒雞肉絲,雞肉絲 水蓮 雞粉 鴻禧菇 蒜末
461708,水蓮味噌湯,水蓮段切 昆布柴魚高湯 赤味噌鹹 鹽分8
476446,龜甲萬味自慢-日式味噌醬/水蓮炒肉片,龜甲萬味自慢日式味噌醬 水蓮 太白粉 豬頸肉 醬油 紅蘿蔔 洋蔥
465023,水蓮炒秀珍菇,水蓮 秀珍菇 蒜瓣
461995,水蓮的脆爽小撇步！水蓮炒豆芽,水蓮 豆芽菜 乾香菇 薑絲 米酒
459864,胡麻醬涼拌水蓮,水蓮 胡麻醬 白芝麻
460938,破布子炒水蓮,水蓮 嫩薑 破布子連湯 蒜頭 辣椒 砂糖 香菇 米酒 醬油 白胡椒
456160,水蓮拌雞絲,水蓮 雞胸肉 米酒 薑 蒜泥 蔥 胡椒粉 芝麻醬 醬油 味醂 花椒粉
450682,水蓮肉絲炒金針菇,水蓮 金針菇 雞粉 肉絲 糖 蒜末
462397,鮮醬雙色水蓮銀芽,去頭尾豆芽菜 水蓮 干貝辣醬
466334,10分鐘搞定！川燙熱拌水蓮輕鬆上桌,水蓮 薑絲 蒜末 辣椒 鰹魚粉 植物油
467507,三菜一湯：肉醬豆腐 水蓮 烤雞腿 蔬菜湯,去骨雞腿 烤肉醬 玉米 馬鈴薯 水蓮 紅蘿蔔 植物油 板豆腐 雞湯塊 辣味肉醬罐頭
445833,水蓮炒肉絲,水蓮段 肉絲 醬油 乾香菇切絲泡水 料酒 蒜末 太白粉 雞粉 辣椒末 香菇水
458983,蒜香松阪豬炒蘑菇水蓮,水蓮 蘑菇 木耳 松阪豬 白芝麻 蒜片
449995,豆乾絲炒水蓮,水蓮 豆乾 蒜頭 辣椒 醬油 米酒
449826,#262 肉絲炒水蓮,水蓮 肉絲 醬油 蒜頭 米酒 紅辣椒 白胡椒粉 砂糖 太白粉 清水 拌勻調料用
454573,松阪豬樹子炒水蓮,松阪豬 水蓮 樹子樹子罐頭 樹子汁 白胡椒粉 薑絲
444044,豬肉炒水蓮,水蓮 豬肉 蒜末 辣椒
442385,香菇炒水蓮,水蓮 香菇 白芝麻
440136,鮮香菇炒水蓮,水蓮 鮮香菇 烹大師 蒜頭 辣椒
450854,十分鐘上菜-杏鮑菇炒水蓮,杏鮑菇 薑 水蓮 枸杞
440468,樹子炒水蓮,水蓮 蒜頭 辣椒可略 樹子粒破布籽 樹子湯汁
443420,雙菇炒水蓮菜,水蓮菜一包 雙菇一包鴻禧菇 雪白菇 SB生蒜泥醬 SB芝麻鹽 白胡椒粉 米酒
432022,水蓮炒蛋,水蓮 雞蛋 鮮味炒手
457131,快速上菜「香菇炒水蓮」脆脆口感好下飯！！,水蓮 芝麻油及醬油 蒜片 乾香菇
443683,金針菇豆乾炒水蓮,水蓮 金針菇 雞粉 大黑豆乾
444347,雪白菇炒水蓮（三分鐘快炒）,水蓮 雪白菇 蒜頭 紅蘿蔔切絲 米酒
