id,name,document
478739,燙地瓜葉,地瓜葉 醬油 醬油膏
477870,皮蛋地瓜葉,有皮蛋地瓜葉 皮蛋地瓜葉
473169,地瓜葉煎蛋,地瓜葉 蛋 米酒 胡椒粉
475926,油潑辣子涼拌地瓜葉梗,地瓜葉 白芝麻 油波辣子 雞粉
460406,地瓜葉炒肉片,地瓜葉 豬里脊 雞粉 油蔥酥 米酒 糖
461635,素鬆拌炒地瓜葉,地瓜葉 蒜末 素鬆 雞粉
469343,椒香地瓜葉,地瓜葉 蒜碎 辣椒 酒 味霖 醬油 花椒粉 昆布柴魚高湯
463011,蕃薯葉,蕃薯葉 蒜末 醬油 滷汁
469901,清炒辣味地瓜葉,地瓜葉 蒜蓉辣椒醬 薑絲
469408,地瓜葉鹹幕斯,地瓜葉 去油豬皮 蒜頭 辣椒 酒 昆布柴魚高湯 胡椒粉
461785,豆芽地瓜葉,地瓜葉 豆芽 蒜泥 雞粉或鹽巴
467399,紅麴煮地瓜葉,地瓜葉 茗荷切絲 蒜碎 辣椒 酒 味霖 紅麴醬 昆布柴魚高湯
464664,燙青菜 / 地瓜葉,地瓜葉 枸杞
457016,皮蛋絞肉炒地瓜葉,地瓜葉 絞肉 蠔油 皮蛋 雞粉
461739,皮蛋炒地瓜葉,地瓜葉 皮蛋 蒜頭
458050,蒜酥拌炒地瓜葉,地瓜葉 蒜酥 雞粉
466704,廚房小白-水煮地瓜葉,地瓜葉 蠔油
462892,地瓜葉蛋餅（2）,地瓜葉 蛋餅 雞蛋 披薩起司 米酒
461042,#270 蝦仁地瓜葉,地瓜葉 蝦仁 蒜頭 白胡椒粉 薑末 米酒 紅辣椒 清水
455491,豆醬蕃薯葉,地瓜葉 薑絲 黃豆醬
462028,炒地皮（地瓜葉炒皮蛋）,地瓜葉 皮蛋 蒜頭 鰹魚粉
461571,lanni 鱸魚地瓜葉飯湯,鱸魚片 白飯 蒜酥 嫩薑絲 味精 地瓜葉 胡椒粉
452640,燙地瓜葉拌油蔥酥,地瓜葉 油蔥酥 蠔油
456444,皮蛋地瓜葉 / 家常小菜,地瓜葉 皮蛋 蒜瓣 辣椒配色用可省略 金蘭無添加有機醬油
450812,地瓜葉飯糰,白飯 地瓜葉 韓國海苔 白芝麻
450350,肉燥燙青菜（地瓜葉）,地瓜葉 北部滷肉燥 蠔油 蒜末 油蔥酥
462073,地瓜葉夾心溶豆 寶寶零食,地瓜葉泥 蛋白 蛋黃 玉米澱粉 地瓜泥 檸檬汁 寶寶奶粉
456329,地瓜葉草仔粿,糯米粉 在來米粉 菜脯米蘿蔔乾絲 地瓜葉 菜脯碎 乾香菇碎 蝦米 油蔥酥 醬油 米酒 砂糖 胡椒粉
448364,~地瓜葉粥~,生米 豬骨高湯 乾香菇 天然鮮味粉 金勾蝦 白胡椒 梅花肉絲 米酒 蝦子 油蔥酥醬 地瓜葉 冰糖
451856,地瓜葉炒皮蛋,地瓜葉 皮蛋 蒜頭 辣椒 米酒
439159,素食-豆皮地瓜葉,地瓜葉柄 生豆皮
459089,私房菜❤️秒殺地瓜葉,地瓜葉 麻油 蒜頭 醬油膏
464579,十分鐘快速湯品｜小魚乾地瓜葉湯,地瓜葉 豆腐 小魚乾 胡椒粉 大蒜 赤藻糖
447798,地瓜葉粥,嫩地瓜葉 貢丸 乾香菇 紅蘿蔔 蒜頭 三層肉 白胡椒 米酒
449865,蒜香地瓜葉,蒜頭 地瓜葉
460358,柴魚醬油拌清燙地瓜葉,地瓜葉 柴魚醬油 白芝麻
463144,寶寶4個月副食品～地瓜葉泥#4-5M,米飯 地瓜葉
447112,鮮胡椒地瓜葉,地瓜葉段 鮮胡椒粒 蒜碎 辣椒 酒 味霖 昆布柴魚高湯
448818,蒜香地瓜葉 / 家常菜,地瓜葉 蒜瓣 油蔥酥 醬油或油膏
450619,燙青菜 /日本地瓜葉 / 家常菜,日本地瓜葉 蒜瓣 油蔥酥 鹽汆燙用 油汆燙用
443281,醬拌地瓜葉,地瓜葉 辣椒醬 薄鹽醬油
442985,蒜拌地瓜葉,地瓜葉 蒜末
439662,地瓜葉蛋捲,雞蛋 豆鼓小魚乾 大同蔭油膏醬油 地瓜葉 米酒
443120,水炒地瓜葉,地瓜葉 雞粉 蠔油
446916,地瓜葉炒菇菇,地瓜葉 胡蘿蔔 玉米筍 好菇道舞菇 蒜頭 薑
