id,name,document
479774,芋頭西米露,芋頭 西米露 砂糖
478946,蜜芋頭,芋頭 砂糖 米酒
467185,芋頭米粉,芋頭 豬肉絲 雞湯塊 洋蔥 雞粉 米酒 娃娃菜 糖 醬油 香菇 蝦米 油蔥酥 炊粉
475483,芋頭飯,芋頭 五花肉 米酒 香菇 醬油 蝦米 白胡椒粉
475505,芋頭麵包,高筋麵粉 糖 酵母 雞蛋 土雞蛋 奶粉 奶油
474489,芋頭年糕,糯米粉 二砂 黑糖 芋頭
479327,芋頭酥蛋餅,義美芋頭酥餅 雞蛋
476260,芋頭燒肉,梅花肉 芋頭去皮 醬油 酒 糖
472328,芋頭肉丸,豬絞肉 芋頭 蒜片 醬油 糖 蛋 木薯粉
472056,芋頭糕,芋頭 再來米粉 蝦米 乾香菇 菜脯可加可不加 醬油
458242,芋頭貢丸炒小黃瓜,小黃瓜 芋頭貢丸 蒜 雞湯粉
475139,蜜芋頭（電鍋版）,芋頭塊 米酒 冰糖 二砂 過濾水
477027,萬用電子鍋/芋頭蓮子湯,芋頭 蓮子 冰糖
477078,麻香排骨蒸芋頭,芋頭 排骨 青花椒酥 辣椒 薑末 蔥花 蒜末 糖 蠔油 太白粉 胡椒粉 醬油 米酒
472309,鴨肉芋頭粥,鴨骨頭 全聯芋頭 香菇 芹菜 白飯 魚露
469169,芋頭燉肉,芋頭角 豬火鍋肉片 洋蔥小 醬油 黑木耳 紅蘿蔔 冰糖
474441,芋頭蛤蜊鹹粥,白米 芋頭 蛤蠣 白胡椒 蝦米 乾香菇 豬油蔥酥 鮮香菇 高麗菜 香菜
471222,客家芋頭米粉,新竹炊粉 豆芽菜 油蔥酥 炸芋頭 豬絞肉 植物油 韭菜 淡色醬油 芹菜 米酒 味醂 雞粉 白胡椒粉
473842,芋頭肉燥粥,芋頭 白飯 香菇 蝦米 油蔥酥紅蔥油 芹菜 蔥 味精或雞粉 白胡椒粉 木耳 高麗菜絲 市售肉燥 雞蛋 素蠔油
467825,芋頭豆腐,板豆腐 芋頭 糖 蓮藕粉
468673,芋頭饅頭卷,芋頭 白糖 中筋麵粉 牛奶 白糖或黑糖 高糖酵母
251197,芋頭椰奶桃膠糖水,桃膠 椰奶 芋頭切丁 椰糖
467173,芋頭燒雞,芋頭 雞腿 蒜頭 蔥 胡椒粉 米酒
473667,芋頭紫米糕(低糖版),圓糯米 紫糯米 芋頭 桂圓龍眼乾 砂糖 米酒 鮮奶油
473421,濃郁綿密的芋頭蘿蔔糕,白蘿蔔 芋頭 在來米粉 玉米粉 白胡椒
472644,廣式干貝臘味芋頭年糕,芋頭 廣式臘腸 廣式肝腸 北海道干貝 水磨蘿蔔糕粉 白胡椒粉 植物油 清水
461783,豆芽菜炒芋頭糕,芋頭糕 豆芽菜 韭菜 醬油膏 辣椒醬
464883,排骨蒸芋頭,芋頭 排骨 姜粒 蒜末 蠔油 糖 醬油 胡椒粉 紹興酒 玉米粉
471232,芋頭香菇瘦肉粥/鹹粥,芋頭 香菇小 肉絲 飯 白胡椒粉 醬油 米酒
469012,桂花酒釀芋頭甜湯,芋頭 酒釀 桂花 冰糖
469397,lanni 芋頭鹹飯(電鍋版),米 芋頭 鮮味抄手 豬絞肉 醬油 蝦皮或蝦米 油蔥酥
461441,素食芋頭巧,芋頭丁 素火腿 素蠔油 香菇 糯米粉 胡椒粉 粘米粉再來米粉 糖 素肉燥
462730,芋頭奶茶蛋塔,芋頭 奶茶或牛奶 細砂糖 蛋 砂糖
