id,name,document
476647,栗子地瓜蘋果汁,栗子地瓜小 富士蘋果 冰開水
479552,地瓜布蕾,瓜瓜園冰烤地瓜 配方奶 蛋黃
479553,地瓜松露巧克力,地瓜 防潮可可粉 無鹽奶油 牛奶 蜂蜜 無糖可可粉
479551,地瓜泥沙拉,瓜瓜園蒸地瓜 小黃瓜 紅蘿蔔 洋蔥 雞蛋 牛奶 黑胡椒
479550,地瓜蔬菜球,小黃瓜 玉米筍 瓜瓜園冰烤地瓜
479554,高蛋白地瓜蛋糕,瓜瓜園冰烤地瓜 高蛋白粉 無糖豆漿 奇亞籽 堅果 泡打粉
478739,燙地瓜葉,地瓜葉 醬油 醬油膏
475642,蒸地瓜,地瓜
478350,皮蛋地瓜葉,地瓜葉 皮蛋 太白粉 蒜頭 白胡椒粉
477635,地瓜泥蒸蛋,瓜瓜園冰烤地瓜 雞蛋 胡蘿蔔 溫水
473982,地瓜圓,地瓜 木薯澱粉
476990,地瓜布朗尼,地瓜 糖 巧克力 發酵奶油 雞蛋 橙酒 可可粉 中筋麵粉 水滴巧克力豆
476757,水晶地瓜粽,粽葉 西谷米 熟地瓜 無鹽奶油 糖 棉繩
477936,地瓜起司蛋糕,地瓜 無糖希臘式優 雞蛋 起司片
475980,拔絲地瓜,迷你紫地瓜 黃肉地瓜
475352,地瓜薯條（氣炸鍋）,中或大型地瓜 廚房紙巾
474759,地瓜貝果,地瓜 樹薯粉 即時燕麥 糖 蜂蜜 蛋白 泡打粉 無糖黑豆漿
479547,雙色地瓜鯛魚粥,瓜瓜園蒸黃金地瓜 瓜瓜園紫心冰烤番薯 白米 鯛魚片
477519,香甜地瓜炒五花肉,五花肉 芝麻醬 地瓜 白芝麻 蒜頭
479548,芋圓地瓜圓綠豆湯,瓜瓜園芋見地瓜圓 綠豆 砂糖
477977,地瓜洋梨濃湯(燜燒鍋版),洋蔥切碎 地瓜去皮切丁 雞高湯 西洋梨去皮切丁 現磨黑胡椒 清水 無糖優格 無鹽奶油 百里香裝飾用 巴西里裝飾用
470845,地瓜蛋糕,牛奶 柳橙汁 香草醬 糖 地瓜 蘭姆酒 二砂 杏仁粉 奶油 糖粉 地瓜丁黃 煉乳 低分 動鮮 低粉 蛋黃 蛋白
478743,三色芋圓地瓜圓,芋頭 黃地瓜 橘地瓜蒸熟後重量 太白粉 地瓜粉 白砂糖僅芋圓需要 室溫開水
478410,【低負擔】地瓜布朗尼,地瓜 雞蛋 可可粉 苦甜 牛奶巧克力
472793,地瓜紅豆餅,小型地瓜 低筋麵粉 紅豆餡 鮮奶
473169,地瓜葉煎蛋,地瓜葉 蛋 米酒 胡椒粉
477961,氣炸雞腿排 (地瓜粉),去骨雞腿排 紅蘿蔔 醬油 小馬鈴薯 米酒 地瓜粉 蒜瓣 白胡椒粉 五香粉
478078,地瓜圓/紫薯芋圓,地瓜 木薯粉 紫番薯 芋頭 糖
478020,優格地瓜蘋果沙拉,地瓜 蛋 蘋果 蔓越莓乾 黑胡椒 雪坊希臘優格
476769,地瓜布朗尼蛋撻,地瓜 巧克力塊 砂糖可不加
472364,地瓜薑湯,地瓜 老薑 黑糖
476887,藍家小館-地瓜蒸蛋,地瓜小 雞蛋
468701,地瓜球,黃肉地瓜 地瓜粉 糖
473434,焗烤馬鈴薯/地瓜,地瓜小 馬鈴薯大 玉米 雙色乳酪絲
479510,大排長龍的貓頭鷹餐廳-香甜地瓜泥,中等大小的地瓜 奶油 砂糖 鮮奶油 蛋黃
471465,地瓜葡萄吐司,高筋麵粉 酵母粉 砂糖 地瓜 加州葡萄乾 雞蛋
471659,黃金地瓜燒,現成塔皮 烤地瓜餡 全脂奶粉 Sill奶油乳酪 蛋黃 諾曼第35鮮奶油 夏威夷豆 堅果
470862,地瓜豆沙圓,地瓜 地瓜粉或木薯粉 太白粉 細砂糖
475972,地瓜粉圓綠豆甜湯,綠豆 地瓜 老薑 市售乾燥粉圓 一般砂糖 711冰塊視需要
470275,焗烤地瓜,地瓜 起司條
475452,地瓜薄餅｜Vitamix調理機,雞蛋 地瓜烤熟並去皮 好水 鹽可選 黑胡椒粉 杏仁粉 椰子油煎餅用
478697,甜椒地瓜起司泥沙拉,甜椒 地瓜 水煮蛋 起司片
474468,肉鬆地瓜起司圓,廣達香迷你鬆 起司碎 地瓜 糖 木薯粉 蛋 黑芝麻
479016,地瓜能量早餐碗｜Vitamix調理機,無糖豆奶 香草杏仁優格 熟地瓜 腰果 奇亞籽 亞麻仁籽 冷凍香蕉
469696,黑糖地瓜圓,芋頭 地瓜 薑末 樹薯粉細粉 黑糖 水湯
475926,油潑辣子涼拌地瓜葉梗,地瓜葉 白芝麻 油波辣子 雞粉
